trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.01, 'e': 0.9130889403123083}",30,0,-143.87464826849603,"{0: 21, 1: 4, 2: 2, 3: 0, 4: 3}",0
43,False,"{'a': 0.01, 'e': 0.9089657496748851}",25,0,-193.01027881817896,"{0: 14, 1: 2, 2: 4, 3: 2, 4: 3}",0
44,False,"{'a': 0.01, 'e': 0.9047516632199634}",25,1,-116.39583876149625,"{0: 12, 1: 5, 2: 5, 3: 1, 4: 1}",1
45,False,"{'a': 0.01, 'e': 0.9004471023526769}",20,0,-100.68260477144109,"{0: 10, 1: 6, 2: 2, 3: 1, 4: 1}",0
46,False,"{'a': 0.01, 'e': 0.8960524975255252}",20,0,-242.6829945835881,"{0: 10, 1: 1, 2: 3, 3: 1, 4: 5}",0
47,False,"{'a': 0.01, 'e': 0.891568288195329}",20,3,-142.07742087748105,"{0: 10, 1: 1, 2: 3, 3: 0, 4: 3}",1
48,False,"{'a': 0.01, 'e': 0.8869949227792842}",25,0,-139.1628283626881,"{0: 11, 1: 4, 2: 9, 3: 0, 4: 1}",0
49,False,"{'a': 0.01, 'e': 0.8823328586101215}",20,9,-57.851636524551125,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 1}",1
50,False,"{'a': 0.01, 'e': 0.8775825618903728}",25,15,-7.230293192133414,"{0: 7, 1: 2, 2: 1, 3: 0, 4: 0}",1
51,False,"{'a': 0.01, 'e': 0.8727445076457513}",20,6,-10.240445803059817,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 0}",1
52,False,"{'a': 0.01, 'e': 0.8678191796776499}",20,0,-55.946732772712494,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
53,False,"{'a': 0.01, 'e': 0.862807070514761}",30,12,-44.043273888853335,"{0: 12, 1: 0, 2: 6, 3: 0, 4: 0}",1
54,False,"{'a': 0.01, 'e': 0.8577086813638242}",25,0,-83.04680735391716,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 1}",0
55,False,"{'a': 0.01, 'e': 0.8525245220595057}",25,0,-83.20869642253946,"{0: 16, 1: 5, 2: 2, 3: 1, 4: 1}",0
56,False,"{'a': 0.01, 'e': 0.8472551110134161}",25,0,-108.70836096125464,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
57,False,"{'a': 0.01, 'e': 0.8419009751622687}",30,0,-113.7201859394597,"{0: 21, 1: 2, 2: 5, 3: 0, 4: 2}",1
58,False,"{'a': 0.01, 'e': 0.8364626499151869}",25,0,-81.64062856291858,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 1}",0
59,False,"{'a': 0.01, 'e': 0.8309406791001636}",20,0,-61.62940644516088,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
60,False,"{'a': 0.01, 'e': 0.8253356149096783}",20,15,-13.017409437988201,"{0: 4, 1: 0, 2: 0, 3: 1, 4: 0}",1
61,False,"{'a': 0.01, 'e': 0.8196480178454795}",20,0,-72.12220338029806,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
62,False,"{'a': 0.01, 'e': 0.8138784566625339}",30,2,-112.64239375526085,"{0: 20, 1: 1, 2: 5, 3: 0, 4: 2}",1
63,False,"{'a': 0.01, 'e': 0.8080275083121519}",20,0,-83.20796836095451,"{0: 11, 1: 6, 2: 1, 3: 1, 4: 1}",0
64,False,"{'a': 0.01, 'e': 0.8020957578842927}",30,0,-88.27632279943188,"{0: 23, 1: 2, 2: 2, 3: 2, 4: 1}",0
65,False,"{'a': 0.01, 'e': 0.7960837985490559}",25,2,-54.40450322145221,"{0: 18, 1: 0, 2: 4, 3: 0, 4: 1}",1
66,False,"{'a': 0.01, 'e': 0.7899922314973651}",20,0,-89.51254121056837,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
67,False,"{'a': 0.01, 'e': 0.7838216658808492}",25,0,-70.52306858969862,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
68,False,"{'a': 0.01, 'e': 0.7775727187509279}",25,0,-204.25766595733177,"{0: 11, 1: 3, 2: 8, 3: 0, 4: 3}",1
69,False,"{'a': 0.01, 'e': 0.7712460149971065}",25,0,-119.59166296783354,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 2}",0
70,False,"{'a': 0.01, 'e': 0.7648421872844884}",20,0,-28.734623532476178,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
71,False,"{'a': 0.01, 'e': 0.7583618759905082}",30,0,-100.69758392629416,"{0: 18, 1: 7, 2: 3, 3: 1, 4: 1}",0
72,False,"{'a': 0.01, 'e': 0.751805729140895}",20,0,-64.41095431284492,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
73,False,"{'a': 0.01, 'e': 0.7451744023448704}",25,1,-152.0611794767161,"{0: 13, 1: 2, 2: 6, 3: 1, 4: 2}",1
74,False,"{'a': 0.01, 'e': 0.7384685587295879}",25,0,-89.39790574908594,"{0: 19, 1: 0, 2: 4, 3: 0, 4: 2}",0
75,False,"{'a': 0.01, 'e': 0.7316888688738209}",25,5,-128.74811004098154,"{0: 13, 1: 1, 2: 2, 3: 2, 4: 2}",1
76,False,"{'a': 0.01, 'e': 0.7248360107409052}",25,0,-134.95849126096223,"{0: 17, 1: 1, 2: 3, 3: 2, 4: 2}",0
77,False,"{'a': 0.01, 'e': 0.7179106696109433}",30,0,-90.6037169855104,"{0: 18, 1: 7, 2: 4, 3: 0, 4: 1}",0
78,False,"{'a': 0.01, 'e': 0.7109135380122773}",30,0,-66.51089655047998,"{0: 20, 1: 7, 2: 2, 3: 0, 4: 1}",0
79,False,"{'a': 0.01, 'e': 0.7038453156522361}",35,24,-12.446784461928882,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 0}",1
80,False,"{'a': 0.01, 'e': 0.6967067093471654}",25,12,-26.089392573866878,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 1}",1
81,False,"{'a': 0.01, 'e': 0.689498432951747}",30,7,-136.47080064878327,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 3}",1
82,False,"{'a': 0.01, 'e': 0.6822212072876135}",20,0,-79.94459044741498,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
83,False,"{'a': 0.01, 'e': 0.674875760071267}",25,0,-54.03088857831796,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
84,False,"{'a': 0.01, 'e': 0.6674628258413081}",20,13,3.4251390402037254,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
85,False,"{'a': 0.01, 'e': 0.6599831458849822}",25,0,-47.72255290453827,"{0: 18, 1: 2, 2: 3, 3: 2, 4: 0}",0
86,False,"{'a': 0.01, 'e': 0.6524374681640519}",30,0,-166.68840559908318,"{0: 19, 1: 1, 2: 7, 3: 0, 4: 3}",0
87,False,"{'a': 0.01, 'e': 0.6448265472400012}",30,0,-108.4580610863059,"{0: 22, 1: 1, 2: 5, 3: 0, 4: 2}",1
88,False,"{'a': 0.01, 'e': 0.6371511441985802}",20,0,-114.55588872547324,"{0: 12, 1: 4, 2: 1, 3: 1, 4: 2}",0
89,False,"{'a': 0.01, 'e': 0.6294120265736969}",20,16,6.908471749404316,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
90,False,"{'a': 0.01, 'e': 0.6216099682706644}",30,16,-54.29010709978958,"{0: 9, 1: 1, 2: 3, 3: 0, 4: 1}",1
91,False,"{'a': 0.01, 'e': 0.6137457494888116}",30,0,-74.69832782661994,"{0: 24, 1: 3, 2: 1, 3: 0, 4: 2}",0
92,False,"{'a': 0.01, 'e': 0.6058201566434628}",30,0,-36.97281899537849,"{0: 23, 1: 3, 2: 3, 3: 1, 4: 0}",0
93,False,"{'a': 0.01, 'e': 0.5978339822872982}",25,0,-54.0040504731975,"{0: 20, 1: 0, 2: 4, 3: 0, 4: 1}",0
